m,pi-_pi0,pi-_2pi0,2pi-_pi+,2pi-_pi+_pi0,pi-_3pi0,eta_pi-_pi0,K_K,K_K_pi,5pi,other
1.215,0,0.4090605882,0.4101274363,0.1493802429,0,0,0,0,0.01026361999,0.02116811263
1.22,0,0.4031037498,0.4099362661,0.1530022031,0,0,0,0,0.01094620348,0.02301157751
1.225,0,0.4145094185,0.4069922519,0.1472565287,0,0,0,0,0.01141679027,0.01982501063
1.23,0,0.4253348799,0.4042967335,0.1417104481,0,0,0,0,0.01192002474,0.01673791386
1.235,0,0.4174464642,0.4091532994,0.1424379853,0,0,0,0,0.01300650304,0.01795574802
1.24,0,0.4088669515,0.414322934,0.1433427345,0,0,0,0,0.01421061935,0.01925676052
1.245,0,0.411846744,0.396706193,0.1561624498,0,0,0,0,0.01438913653,0.02089547673
1.25,0,0.4146850198,0.3800067178,0.1683273339,0,0,0,0,0.01457450681,0.02240642163
1.255,0,0.4164979344,0.3827439462,0.1634893982,0,0,0,0,0.01600014529,0.02126857593
1.26,0,0.4185065056,0.3857622874,0.1581590104,0,0,0,0,0.01760765119,0.01996454533
1.265,0,0.4162141605,0.3815347003,0.162608716,0,0,0,0,0.01842692111,0.02121550214
1.27,0,0.4141672043,0.3770750326,0.1671102205,0,0,0,0,0.01928013685,0.02236740577
1.275,0,0.4203658085,0.3669729794,0.1709400263,0,0,0,0,0.02020928269,0.02151190315
1.28,0,0.4256568162,0.3579297772,0.1745729666,0,0,0,0,0.02123428279,0.02060615721
1.285,0,0.416658949,0.3657497054,0.1745127069,0,0,0,0,0.02312458103,0.01995405765
1.29,0,0.4073704993,0.3742990942,0.173993731,0,0,0,0,0.02512518749,0.01921148799
1.295,0,0.4020802087,0.3826006046,0.1701575207,0,0,0,0,0.02646799984,0.01869366611
1.3,0,0.3948504893,0.3858408086,0.1701561494,0,0,0,0,0.02613413465,0.023018418
1.305,0,0.3842542874,0.3721051277,0.1820446481,0,0,0,0,0.02065920662,0.04093673015
1.31,0,0.377725175,0.3636375041,0.189389719,0,0,0,0,0.0172945839,0.05195301797
1.315,0,0.3721936004,0.3590607011,0.1951402177,0,0,0,0,0.01592104637,0.05768443447
1.32,0,0.3646839323,0.3575738773,0.2020682959,0,0,0,0,0.01673320456,0.0589406899
1.325,0,0.3569427024,0.3560503173,0.2092271938,0,0,0,0,0.01758622636,0.06019356012
1.33,0,0.3489581636,0.3544883737,0.2166290289,0,0,0,0,0.01848242143,0.06144201237
1.335,0,0.3462878044,0.3519724948,0.2194823161,0,0,0,0,0.01960393848,0.06265344627
1.34,0,0.3483864885,0.3485051091,0.2182755146,0,0,0,0,0.02097074851,0.06386213934
1.345,0,0.3506521963,0.3447978538,0.2169890147,0,0,0,0,0.02245493307,0.06510600216
1.35,0,0.3531044346,0.340823301,0.2156137741,0,0,0,0,0.02407026708,0.06638822312
1.355,0,0.3459201674,0.3317889091,0.2253790341,0,0,0,0,0.02560592267,0.07130596671
1.36,0,0.3360345983,0.321119111,0.2383507663,0,0,0,0,0.02720223716,0.0772932872
1.365,0,0.3255684526,0.3098207215,0.2521163057,0,0,0,0,0.0289160777,0.08357844249
1.37,0,0.3155700246,0.2985117115,0.2653427811,0,0,0,0,0.03070762832,0.08986785447
1.375,0,0.3120666006,0.2909416757,0.2703348029,0,0,0,0,0.03228678049,0.09437014029
1.38,0,0.3084397466,0.2830851838,0.2755395432,0,0,0,0,0.03395269131,0.09898283504
1.385,0,0.3046814625,0.2749237053,0.2809707224,0,0,0,0,0.03571118245,0.1037129274
1.39,0,0.300090271,0.2672021096,0.2858971085,0,0,0,0,0.03767519337,0.1091353176
1.395,0,0.2945964544,0.2598500767,0.290358774,0,0,0,0,0.0398724098,0.1153222852
1.4,0,0.2888113913,0.2521007509,0.2950866656,0,0,0,0,0.04222073639,0.1217804559
1.405,0,0.2827087773,0.2439183809,0.3001043124,0,0,0,0,0.04473390521,0.1285346241
1.41,0,0.2700281337,0.2273857733,0.3116042659,0,0,0,0,0.03895992504,0.1520219021
1.415,0,0.2605224273,0.215000556,0.3202739462,0,0,0,0,0.03435283128,0.1698502393
1.42,0,0.2534087874,0.2057278485,0.3267806461,0,0,0,0,0.03091966784,0.1831630502
1.425,0,0.2478870468,0.1985266277,0.3318472795,0,0,0,0,0.02826804215,0.1934710039
1.43,0,0.2434779906,0.192773456,0.3359066869,0,0,0,0,0.02616297086,0.2016788955
1.435,0,0.2375134022,0.1883904311,0.3405134682,0,0,0,0,0.02635192472,0.2072307737
1.44,0,0.2300997691,0.1841974671,0.345917447,0,0,0,0,0.02771450785,0.2120708089
1.445,0,0.222342862,0.1798114444,0.3515819876,0,0,0,0,0.02915693817,0.2171067679
1.45,0,0.2142171104,0.175217857,0.3575253119,0,0,0,0,0.03068514383,0.2223545768
1.455,0,0.2056944061,0.1704007427,0.3637672926,0,0,0,0,0.03230561984,0.2278319387
1.46,0,0.1967437976,0.1653425064,0.3703296378,0,0,0,0,0.03402549487,0.2335585633
1.465,0,0.1873311427,0.1600237189,0.3772361014,0,0,0,0,0.03585260727,0.2395564297
1.47,0,0.1822106216,0.1566748788,0.3807618432,0,0,0,0,0.03787870298,0.2424739534
1.475,0,0.1784987803,0.1539314128,0.3831571009,0,0,0,0,0.04007599283,0.2443367132
1.48,0,0.1745526999,0.1510147583,0.3857021623,0,0,0,0,0.0424315465,0.2462988331
1.485,0,0.1703486517,0.1479072432,0.3884093084,0,0,0,0,0.04496069104,0.2483741057
1.49,0,0.1658597564,0.1445888379,0.3912921952,0,0,0,0,0.04768071423,0.2505784962
1.495,0,0.1610554737,0.1410367731,0.3943660769,0,0,0,0,0.05061118363,0.2529304926
1.5,0,0.155900991,0.1372250826,0.3976480797,0,0,0,0,0.05377433066,0.255451516
1.505,0,0.1564065966,0.1336289716,0.3978414469,0,0,0,0,0.0577331421,0.2543898428
1.51,0,0.1569534714,0.1296717794,0.3980322718,0,0,0,0,0.06210506095,0.2532374164
1.515,0,0.1575462499,0.1252969215,0.3982159187,0,0,0,0,0.06695291231,0.2519879976
1.52,0,0.1581904925,0.1204358353,0.3983866434,0,0,0,0,0.07235276637,0.2506342624
1.525,0,0.1588929659,0.1150046728,0.3985373442,0,0,0,0,0.07839762738,0.2491673898
1.53,0,0.1596620272,0.1088998219,0.398659234,0,0,0,0,0.08520243208,0.2475764849
1.535,0,0.1597872911,0.1043432147,0.3985424014,0,0,0,0,0.08864475241,0.2486823404
1.54,0,0.1589287827,0.1030523051,0.3981104024,0,0,0,0,0.08632399649,0.2535845133
1.545,0,0.1581284858,0.1018681563,0.397662686,0,0,0,0,0.08424185852,0.2580988133
1.55,0,0.1573774797,0.1007759679,0.3971980082,0,0,0,0,0.08236658824,0.262281956
1.555,0,0.1566685218,0.09976354987,0.396715767,0,0,0,0,0.08067187762,0.2661802837
1.56,0,0.1559957284,0.09882080389,0.3962159302,0,0,0,0,0.07913576142,0.2698317761
1.565,0,0.1553543255,0.09793932312,0.3956989702,0,0,0,0,0.07773977379,0.2732676074
1.57,0,0.1547404513,0.09711207987,0.3951658013,0,0,0,0,0.07646829339,0.2765133742
1.575,0,0.154150997,0.09633317809,0.3946177181,0,0,0,0,0.07530802912,0.2795900776
1.58,0,0.153583476,0.09559765498,0.394056334,0,0,0,0,0.07424761194,0.2825149231
1.585,0,0.1527691211,0.09567695314,0.3943931063,0,0,0,0,0.0781527497,0.2790080698
1.59,0,0.1517782742,0.09600556863,0.39500201,0,0,0,0,0.08400656895,0.2732075782
1.595,0,0.1506586576,0.09635544573,0.395618495,0,0,0,0,0.09050794047,0.2668594613
1.6,0,0.1493896289,0.09673050608,0.3962454892,0,0,0,0,0.09776466665,0.2598697091
1.605,0,0.1479458906,0.09713571247,0.396887104,0,0,0,0,0.1059099579,0.2521213351
1.61,0,0.1462960044,0.09757737977,0.3975489404,0,0,0,0,0.115110386,0.2434672894
1.615,0,0.1444003088,0.09806360821,0.3982385104,0,0,0,0,0.1255770206,0.233720552
1.62,0,0.1422079409,0.09860490113,0.3989658327,0,0,0,0,0.1375813402,0.2226399852
1.625,0,0.1396524821,0.09921506753,0.399744301,0,0,0,0,0.1514784924,0.209909657
1.63,0,0.1366454244,0.09991257617,0.4005919883,0,0,0,0,0.1677421936,0.1951078175
1.635,0,0.1330660722,0.1007226501,0.401533666,0,0,0,0,0.1870186829,0.1776589287
1.64,0,0.1287453814,0.1016806211,0.4026040442,0,0,0,0,0.2102130845,0.1567568689
1.645,0,0.12529706,0.1024833296,0.4047820002,0,0,0,0,0.2345417941,0.1328958161
1.65,0,0.1246277527,0.1027628136,0.4089492848,0,0,0,0,0.255532477,0.1081276718
