m,pi-_pi0,pi-_2pi0,2pi-_pi+,2pi-_pi+_pi0,pi-_3pi0,eta_pi-_pi0,K_K,K_K_pi,5pi,other
1.18,0.08306873412,0.3949281675,0.3996595633,0.09248808568,0.008143907544,0.003212910703,0.002671083871,0.0003505492369,0.006318349322,0.009158648736
1.185,0.08009169043,0.3921457475,0.4042293103,0.09281141507,0.008467341388,0.003316263168,0.002795471927,0.0004317100649,0.006622135048,0.009088915041
1.19,0.07776710981,0.3894398255,0.4076254905,0.09371030248,0.008579655498,0.003437526615,0.00293626541,0.0005250479746,0.006967706726,0.009011069439
1.195,0.07695450224,0.3868790471,0.4082917638,0.09598188985,0.008194287307,0.003599766702,0.003113936699,0.0006361518507,0.007403973623,0.008944680887
1.2,0.0758699692,0.3843189036,0.4053856499,0.1011821399,0.007883910705,0.00376501167,0.003296453267,0.0007607544606,0.007855195695,0.009682011518
1.205,0.07382230215,0.3820352782,0.388612631,0.1174489819,0.007904375291,0.003917505666,0.003469836717,0.0008959341492,0.008288112952,0.01360504201
1.21,0.07177214174,0.379100168,0.3736693841,0.132313766,0.008295748726,0.004081993843,0.003655760381,0.001047411123,0.008754489458,0.01730913663
1.215,0.06993845272,0.3720251659,0.372995424,0.1358556929,0.0111898859,0.004294919599,0.003887461164,0.001227023215,0.009334375005,0.0192515995
1.22,0.06810713615,0.3659912441,0.3721947119,0.1389157672,0.01389218205,0.004513918827,0.004127448784,0.001426196968,0.009938420646,0.0208929733
1.225,0.06732644235,0.3770096391,0.3701725344,0.1339345459,0.01256690901,0.004656940029,0.004299991103,0.00161757603,0.0103839377,0.01803148437
1.23,0.06658609495,0.3874763096,0.3683107445,0.1290969635,0.01130209752,0.00481021793,0.004483350392,0.001827093295,0.010859037,0.01524809133
1.235,0.06720884201,0.3792571639,0.3717226836,0.1294073156,0.01210078957,0.005171675679,0.004863866094,0.002137935538,0.01181662771,0.01631310037
1.24,0.06788088662,0.3703565258,0.3752986194,0.1298415462,0.01296328971,0.005567739181,0.005281918476,0.002494325678,0.01287214726,0.01744300169
1.245,0.06736801551,0.3733981534,0.359671072,0.1415836625,0.01237588798,0.005578420945,0.00533635602,0.002697868046,0.01304581641,0.01894474714
1.25,0.06688066251,0.3762884436,0.34482108,0.1527415447,0.01181771268,0.005591989089,0.005392452964,0.002909329553,0.01322502193,0.02033176295
1.255,0.06790963404,0.3760336073,0.3455589449,0.1476057936,0.01396060208,0.006041582467,0.005871245919,0.003370663661,0.01444567153,0.01920225449
1.26,0.06898232747,0.3757541432,0.3463548973,0.1420023408,0.0163241693,0.006541347285,0.006404510869,0.00390223982,0.01580894872,0.01792507529
1.265,0.06163245737,0.3758119801,0.3444988778,0.1468241818,0.01757278216,0.00681278686,0.006718444819,0.004334181769,0.01663820785,0.01915609949
1.27,0.05432559698,0.3760300302,0.3423533646,0.1517224459,0.01881460805,0.007094572149,0.007045102201,0.004801709182,0.01750479122,0.02030777951
1.275,0.0544361414,0.3811730345,0.3327582817,0.155002446,0.01881247674,0.007352866419,0.007350763653,0.005282675343,0.01832507176,0.0195062425
1.28,0.05478314013,0.3853170149,0.3240085158,0.1580285616,0.01885300853,0.007637176787,0.007684687177,0.005812703546,0.01922189461,0.01865329694
1.285,0.05838999933,0.3746077018,0.3288364665,0.1569000359,0.01948596333,0.008181046319,0.008283763118,0.00658409068,0.02079073586,0.01794019712
1.29,0.06097872359,0.3637500822,0.3342198969,0.1553628308,0.02101775353,0.008744461044,0.008908201253,0.00742885759,0.02243483274,0.01715436034
1.295,0.05413232368,0.3581119091,0.3407624399,0.1515504451,0.02863875159,0.009102677394,0.009327848943,0.008150459702,0.0235736695,0.01664947518
1.3,0.04857637881,0.3514170048,0.3433983874,0.1514390029,0.03496819151,0.008898637576,0.009170918049,0.008385698497,0.02325938442,0.02048639606
1.305,0.04900957083,0.3438113748,0.3329409189,0.1628843784,0.03503034367,0.007007544279,0.007262025718,0.006940902839,0.01848481712,0.03662812345
1.31,0.04927930402,0.3390756207,0.3264294269,0.1700110048,0.0350690436,0.005832284571,0.006076632001,0.00606462709,0.01552496937,0.04663708691
1.315,0.04952402463,0.3343298499,0.3225329779,0.1752883436,0.03550065387,0.005324319594,0.005576402413,0.005805930737,0.01430137712,0.05181612016
1.32,0.0498818061,0.3266271443,0.320259063,0.1809813502,0.03680642741,0.005529538182,0.005820787297,0.006316978941,0.014987002,0.0527899025
1.325,0.05024897631,0.3187223082,0.3179254771,0.1868237499,0.0381464664,0.005741771228,0.006074104736,0.006865794657,0.01570314401,0.05374820746
1.33,0.05062590152,0.3106074556,0.3155298924,0.1928213709,0.03952210767,0.005961097938,0.006336511489,0.007454971052,0.01645119242,0.05468949898
1.335,0.05048323819,0.3073037363,0.3123484608,0.1947736389,0.04101165415,0.006246593635,0.006671172393,0.008164416563,0.01739698443,0.05560010455
1.34,0.04986566769,0.3082479635,0.3083529175,0.1931274176,0.04265243851,0.006601140463,0.007082121948,0.009011265445,0.01855465334,0.05650441405
1.345,0.04920704371,0.3092549589,0.3040917674,0.1913717624,0.04440229525,0.006980012723,0.007522113341,0.009946365087,0.01980395239,0.05741972882
1.35,0.04850314709,0.3103311733,0.2995377133,0.1894954267,0.04627243404,0.007385352786,0.007993756612,0.0109801838,0.0211545183,0.05834629406
1.355,0.04631776979,0.3032448504,0.2908569306,0.1975745791,0.04881976966,0.007760664049,0.00843595733,0.01203337021,0.02244698321,0.06250912565
1.36,0.04368024867,0.2938595492,0.2808160757,0.208435825,0.05163385222,0.008142653478,0.008888327071,0.01316297433,0.02378813726,0.067592357
1.365,0.04089776944,0.2839584321,0.2702233757,0.2198940048,0.0546025967,0.008544682115,0.009365571239,0.01439666713,0.02522039227,0.07289650853
1.37,0.03809564966,0.2745435592,0.2597029546,0.2308462334,0.05737683125,0.00895570659,0.009855782734,0.01572351503,0.02671540678,0.0781843607
1.375,0.03603313355,0.2712990047,0.2529337869,0.2350189441,0.05799100234,0.009306664622,0.01028276115,0.01702392349,0.02806891669,0.08204186248
1.38,0.03389176131,0.2679304012,0.2459058137,0.2393511899,0.05862865502,0.009668105446,0.01072397758,0.01842383403,0.02949346932,0.08598279242
1.385,0.03166696729,0.2644305665,0.2386040507,0.2438522077,0.05929114884,0.01003989548,0.01117943534,0.01993067565,0.03099344518,0.09001160728
1.39,0.02971713663,0.25978503,0.2313140904,0.2474981567,0.06091439736,0.01043511331,0.01166391254,0.02157982896,0.0326150235,0.09447731062
1.395,0.0280362421,0.2539471476,0.2239951798,0.2502941951,0.06352474609,0.01085534354,0.01217952292,0.0233871597,0.03437069451,0.09940976862
1.4,0.02627669533,0.2478360996,0.2163338036,0.2532210655,0.06625723797,0.0112886485,0.01271318851,0.02533983758,0.03623064375,0.1045027797
1.405,0.02443287991,0.2414323797,0.2083055069,0.2562881103,0.06912059505,0.01173501308,0.01326512094,0.02744963162,0.03820261009,0.1097681525
1.41,0.02163798947,0.232374764,0.1956785565,0.2681534209,0.0714103385,0.01014627251,0.01151175794,0.02473603644,0.03352725979,0.130823604
1.415,0.01953825415,0.2255940195,0.1861752944,0.2773346141,0.07305467865,0.008862253957,0.01009211987,0.02252333054,0.0297471253,0.1470783095
1.42,0.0179477718,0.2204578223,0.1789768774,0.2842890744,0.07430021373,0.007882814702,0.009009931587,0.02089013813,0.02689915653,0.1593461994
1.425,0.01670133456,0.2164326614,0.1733355855,0.289739181,0.07527632094,0.007108599935,0.008155085076,0.01964865125,0.02468111052,0.1689214698
1.43,0.0156982216,0.2131932756,0.1687955631,0.2941253405,0.07606187659,0.006479051856,0.007460465436,0.0186841735,0.02290872141,0.1765933104
1.435,0.01497349292,0.207896485,0.1648989407,0.2980528782,0.0766647276,0.006399851219,0.007396799272,0.01926090159,0.02306595111,0.1813899723
1.44,0.01430984809,0.2010021237,0.160904473,0.3021738864,0.07724117526,0.006583517354,0.007637736482,0.02068437022,0.0242098241,0.1852530454
1.445,0.01361792871,0.1938140286,0.1567398211,0.3064704698,0.07784218243,0.006767099636,0.007880598246,0.02220228458,0.0254158087,0.1892497782
1.45,0.01289590179,0.1863131573,0.1523939525,0.3109540108,0.07846934128,0.00695022455,0.008125062778,0.02381962056,0.02668809236,0.1933906361
1.455,0.01214177233,0.1784787845,0.1478548591,0.3156368977,0.07912438468,0.007132537267,0.008370837066,0.02554141551,0.02803123269,0.1976872792
1.46,0.01135336496,0.1702883112,0.1431094475,0.3205326387,0.07980920217,0.007313710007,0.008617667928,0.02737274083,0.02945019934,0.2021527174
1.465,0.01052830316,0.1617170486,0.1381434136,0.3256559912,0.08052585801,0.007493450689,0.008865353669,0.02931867309,0.03095042153,0.2068014866
1.47,0.009986768368,0.1567884312,0.1348154583,0.3276376071,0.08128171354,0.007684712509,0.00912943877,0.03143826954,0.03259383215,0.2086437685
1.475,0.009531677961,0.1530436389,0.1319797453,0.3285162896,0.08207950213,0.007880242155,0.00940164005,0.03371374617,0.0343608834,0.2094926343
1.48,0.009051492078,0.149092344,0.12898766,0.3294434261,0.08292128391,0.008075680358,0.00967702216,0.03613508876,0.03624245706,0.2103735456
1.485,0.008544085033,0.144917055,0.1258259569,0.3304231208,0.0838107853,0.00827111185,0.00995593229,0.03870953219,0.03824844443,0.2112939762
